tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdSlug,letterboxdUrl,letterboxdRatingOutOf5
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,,143,"Action,Adventure,Fantasy",8.1,1313011,216,pirates-of-the-caribbean-the-curse-of-the-black-pearl,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/,3.99
tt0050986,movie,Wild Strawberries,Smultronstället,0,1957,,92,"Drama,Romance",8.1,123846,217,wild-strawberries,https://letterboxd.com/film/wild-strawberries/,4.33
tt1895587,movie,Spotlight,Spotlight,0,2015,,129,"Biography,Crime,Drama",8.1,532080,218,spotlight,https://letterboxd.com/film/spotlight/,4.12
tt0113247,movie,La haine,La haine,0,1995,,98,"Crime,Drama",8.1,223325,219,la-haine,https://letterboxd.com/film/la-haine/,4.5
tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,0,2016,,130,"Animation,Drama",8.2,137387,220,a-silent-voice-the-movie,https://letterboxd.com/film/a-silent-voice-the-movie/,4.2
tt0088247,movie,The Terminator,The Terminator,0,1984,,107,"Action,Adventure,Sci-Fi",8.1,996493,221,the-terminator,https://letterboxd.com/film/the-terminator/,3.88
tt0041959,movie,The Third Man,The Third Man,0,1949,,104,"Drama,Film-Noir,Mystery",8.1,194344,222,the-third-man,https://letterboxd.com/film/the-third-man/,4.24
tt26548265,movie,Maharaja,Maharaja,0,2024,,141,"Action,Crime,Drama",8.3,79889,223,maharaja-2024,https://letterboxd.com/film/maharaja-2024/,3.83
tt0059742,movie,The Sound of Music,The Sound of Music,0,1965,,174,"Biography,Drama,Family",8.1,289222,224,the-sound-of-music,https://letterboxd.com/film/the-sound-of-music/,4.24
tt15097216,movie,Jai Bhim,Jai Bhim,0,2021,,164,"Crime,Drama",8.6,233124,225,jai-bhim,https://letterboxd.com/film/jai-bhim/,3.77
tt0118715,movie,The Big Lebowski,The Big Lebowski,0,1998,,117,"Comedy,Crime",8.1,912191,226,the-big-lebowski,https://letterboxd.com/film/the-big-lebowski/,4.11
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,0,1946,,170,"Drama,Romance,War",8.1,76997,227,the-best-years-of-our-lives,https://letterboxd.com/film/the-best-years-of-our-lives/,4.24
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,,96,"Drama,Fantasy",8.1,214811,228,the-seventh-seal,https://letterboxd.com/film/the-seventh-seal/,4.33
tt3170832,movie,Room,Room,0,2015,,118,"Drama,Thriller",8.1,477885,229,room-2015,https://letterboxd.com/film/room-2015/,3.96
tt0381681,movie,Before Sunset,Before Sunset,0,2004,,80,"Drama,Romance",8.1,312452,230,before-sunset,https://letterboxd.com/film/before-sunset/,4.32
tt0395169,movie,Hotel Rwanda,Hotel Rwanda,0,2004,,121,"Biography,Drama,History",8.1,390447,231,hotel-rwanda,https://letterboxd.com/film/hotel-rwanda/,3.85
tt0091763,movie,Platoon,Platoon,0,1986,,120,"Drama,War",8.1,469667,232,platoon,https://letterboxd.com/film/platoon/,3.98
tt0317705,movie,The Incredibles,The Incredibles,0,2004,,115,"Action,Adventure,Animation",8.0,891877,233,the-incredibles,https://letterboxd.com/film/the-incredibles/,4.07
tt30472557,movie,Chainsaw Man - The Movie: Reze Arc,Gekijô-ban Chensô Man Reze-hen,0,2025,,100,"Action,Adventure,Animation",8.3,46821,234,chainsaw-man-the-movie-reze-arc,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,4.35
tt1028532,movie,Hachi: A Dog's Tale,Hachi: A Dog's Tale,0,2009,,93,"Biography,Drama,Family",8.1,340118,235,hachi-a-dogs-tale,https://letterboxd.com/film/hachi-a-dogs-tale/,3.88
tt0070047,movie,The Exorcist,The Exorcist,0,1973,,122,Horror,8.1,495259,236,the-exorcist,https://letterboxd.com/film/the-exorcist/,3.95
tt1979320,movie,Rush,Rush,0,2013,,123,"Biography,Drama,Sport",8.1,554928,237,rush-2013,https://letterboxd.com/film/rush-2013/,3.86
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,,102,"Adventure,Family,Fantasy",8.1,464791,238,the-wizard-of-oz-1939,https://letterboxd.com/film/the-wizard-of-oz-1939/,3.93
tt0092005,movie,Stand by Me,Stand by Me,0,1986,,89,"Adventure,Comedy,Drama",8.1,483040,239,stand-by-me,https://letterboxd.com/film/stand-by-me/,4.18
tt0129167,movie,The Iron Giant,The Iron Giant,0,1999,,86,"Action,Adventure,Animation",8.1,257361,240,the-iron-giant,https://letterboxd.com/film/the-iron-giant/,4.28
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,,114,"Biography,Drama,History",8.1,67646,241,the-passion-of-joan-of-arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/,4.43
tt0476735,movie,My Father and My Son,Babam ve Oglum,0,2005,,112,"Drama,Family",8.2,100145,242,my-father-and-my-son,https://letterboxd.com/film/my-father-and-my-son/,3.95
tt0058946,movie,The Battle of Algiers,La battaglia di Algeri,0,1966,,121,"Drama,War",8.1,74892,243,the-battle-of-algiers,https://letterboxd.com/film/the-battle-of-algiers/,4.45
tt4016934,movie,The Handmaiden,Ah-ga-ssi,0,2016,,145,"Drama,Romance,Thriller",8.1,200278,244,the-handmaiden,https://letterboxd.com/film/the-handmaiden/,4.39
tt0074958,movie,Network,Network,0,1976,,121,Drama,8.1,184846,245,network,https://letterboxd.com/film/network/,4.26
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,0,1942,,99,"Comedy,Romance,War",8.1,49452,246,to-be-or-not-to-be,https://letterboxd.com/film/to-be-or-not-to-be/,4.33
tt1954470,movie,Gangs of Wasseypur,Gangs of Wasseypur,0,2012,,321,"Action,Comedy,Crime",8.2,113223,247,gangs-of-wasseypur-part-1,https://letterboxd.com/film/gangs-of-wasseypur-part-1/,4.04
tt4430212,movie,Drishyam,Drishyam,0,2015,,163,"Crime,Drama,Mystery",8.2,107497,248,drishyam-2015,https://letterboxd.com/film/drishyam-2015/,3.82
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,,129,Drama,8.1,107878,249,the-grapes-of-wrath,https://letterboxd.com/film/the-grapes-of-wrath/,4.19
tt1454029,movie,The Help,The Help,0,2011,,146,Drama,8.1,525605,250,the-help,https://letterboxd.com/film/the-help/,3.93
