tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank
tt0482571,movie,The Prestige,The Prestige,0,2006,,130,"Drama,Mystery,Sci-Fi",8.5,1573591,41
tt0120586,movie,American History X,American History X,0,1998,,119,"Crime,Drama",8.5,1265766,42
tt0110413,movie,Léon: The Professional,Léon,0,1994,,110,"Action,Crime,Drama",8.5,1342499,43
tt9362722,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,0,2023,,140,"Action,Adventure,Animation",8.5,510178,44
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,,174,"Drama,Romance",8.5,315268,45
tt6019206,movie,Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,0,2006,,248,"Action,Crime,Thriller",8.8,26150,46
tt0034583,movie,Casablanca,Casablanca,0,1942,,102,"Drama,Romance,War",8.5,652037,47
tt1675434,movie,The Intouchables,Intouchables,0,2011,,112,"Comedy,Drama",8.5,1018158,48
tt0114814,movie,The Usual Suspects,The Usual Suspects,0,1995,,106,"Crime,Drama,Mystery",8.5,1230246,49
tt0078748,movie,Alien,Alien,0,1979,,117,"Horror,Sci-Fi",8.5,1055879,50
tt1853728,movie,Django Unchained,Django Unchained,0,2012,,165,"Drama,Western",8.5,1865486,51
tt0027977,movie,Modern Times,Modern Times,0,1936,,87,"Comedy,Drama,Romance",8.5,283890,52
tt0047396,movie,Rear Window,Rear Window,0,1954,,112,"Drama,Mystery,Thriller",8.5,566048,53
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,,145,"Drama,Western",8.5,382011,54
tt0021749,movie,City Lights,City Lights,0,1931,,87,"Comedy,Drama,Romance",8.5,215402,55
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,,147,"Drama,Mystery,War",8.4,765466,56
tt0910970,movie,WALL·E,WALL·E,0,2008,,98,"Adventure,Animation,Family",8.4,1308716,57
tt0209144,movie,Memento,Memento,0,2000,,113,"Drama,Mystery,Thriller",8.4,1424945,58
tt15239678,movie,Dune: Part Two,Dune: Part Two,0,2024,,166,"Action,Adventure,Drama",8.4,717849,59
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,,115,"Action,Adventure",8.4,1104252,60
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,,149,"Action,Adventure,Sci-Fi",8.4,1355038,61
tt0405094,movie,The Lives of Others,Das Leben der Anderen,0,2006,,137,"Drama,Mystery,Thriller",8.4,441043,62
tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,0,2018,,117,"Action,Adventure,Animation",8.4,777351,63
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,0,1950,,110,"Drama,Film-Noir",8.4,259553,64
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,,116,"Crime,Drama,Mystery",8.4,160223,65
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,,88,"Drama,War",8.4,237351,66
tt0081505,movie,The Shining,The Shining,0,1980,,146,"Drama,Horror",8.4,1215603,67
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,,125,"Comedy,Drama,War",8.4,258202,68
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,,153,"Adventure,Drama,War",8.4,1764000,69
tt23849204,movie,12th Fail,12th Fail,0,2023,,147,"Biography,Drama",8.7,167933,70
tt0090605,movie,Aliens,Aliens,0,1986,,137,"Action,Adventure,Horror",8.4,835824,71
tt0057565,movie,High and Low,Tengoku to jigoku,0,1963,,143,"Crime,Drama,Mystery",8.4,70406,72
